20190523-083342,Acceleration (m/s^2),Magnetometer (uTesla),Gyroscope (radians/s)20190523-083342,(-0.002,-0.651,10.093),(55.100,-1.800,-17.600),(-0.883,2.688,0.281)
20190523-083357,(0.002,-0.672,10.146),(54.900,-0.300,-18.600),(-0.875,2.930,-0.211)
20190523-083357,(0.000,-0.660,10.131),(55.900,-0.400,-17.900),(-0.867,2.570,-0.125)
20190523-083357,(-0.012,-0.653,10.059),(55.800,-1.600,-18.100),(-1.305,2.625,-0.094)
20190523-083357,(-0.002,-0.675,10.129),(55.700,-0.700,-17.400),(-1.086,2.711,-0.148)
20190523-083357,(0.010,-0.663,10.126),(55.900,-0.700,-18.000),(-0.922,2.547,-0.055)
20190523-083357,(0.007,-0.670,10.083),(55.500,-1.400,-17.700),(-1.211,2.742,-0.078)
20190523-083357,(-0.002,-0.680,10.129),(55.500,-1.600,-17.900),(-0.828,2.820,-0.125)
20190523-083357,(0.014,-0.663,10.119),(54.600,0.400,-16.400),(-1.188,2.719,-0.008)
20190523-083358,(-0.005,-0.677,10.074),(55.000,-0.900,-17.000),(-1.352,2.719,-0.008)
20190523-083358,(0.005,-0.668,10.124),(55.800,-1.700,-15.900),(-0.820,2.766,-0.180)
20190523-083358,(-0.007,-0.668,10.143),(55.400,-1.500,-17.800),(-0.852,2.617,0.031)
20190523-083358,(-0.014,-0.670,10.067),(56.300,-1.600,-19.300),(-0.352,2.727,0.062)
20190523-083358,(0.000,-0.670,10.095),(55.200,-0.800,-19.000),(-0.695,2.906,-0.047)
20190523-083358,(-0.010,-0.653,10.141),(55.600,-1.700,-18.400),(-1.062,2.742,-0.203)
20190523-083358,(-0.005,-0.660,10.052),(55.700,-1.400,-18.300),(-1.234,2.805,-0.117)
20190523-083358,(-0.002,-0.653,10.107),(55.900,-0.700,-18.400),(-0.891,2.766,-0.180)
20190523-083358,(0.005,-0.665,10.117),(55.900,-0.900,-18.100),(-0.945,2.781,-0.141)
